filename,category
1,spam
2,work-related
3,not spam
4,spam
5,work-related
6,not spam
7,spam
8,work-related
9,not spam
10,spam
11,work-related
12,not spam
13,spam
14,work-related
15,not spam
16,spam
17,work-related
18,not spam
19,spam
20,work-related
21,not spam
22,spam
23,work-related
24,not spam
25,spam
26,work-related
27,not spam
28,spam
29,work-related
30,not spam
31,spam
32,work-related
33,not spam
34,spam
35,work-related
36,not spam
37,spam
38,work-related
39,not spam
40,spam
41,work-related
42,not spam
43,spam
44,work-related
45,not spam
46,spam
47,work-related
48,not spam
49,spam
50,work-related
51,not spam
52,spam
53,work-related
54,not spam
55,spam
56,work-related
57,not spam
58,spam
59,work-related
60,not spam
61,not spam
62,spam
63,work-related
64,not spam
65,spam
66,work-related



